Region,Average Dry Days (<1 mm) Rescaled
Dakar,10.0
Diourbel,73.08077046486527
Fatick,57.92105554853327
Kaffrine,63.49332503621884
Kaolack,54.583787081781665
Kédougou,26.24812099526481
Kolda,36.42563711143737
Louga,82.84551671067562
Matam,83.82828028875066
Saint-Louis,100.0
Sédhiou,28.958306999718026
Tambacounda,53.11997433080206
Thiès,41.14475871926259
Ziguinchor,19.37086157107158
