Region,Lack of Coping Capacity Rescaled
Dakar,10.0
Diourbel,28.620689655172406
Fatick,68.9655172413793
Kaffrine,53.44827586206896
Kaolack,37.93103448275861
Kédougou,100.0
Kolda,90.6896551724138
Louga,37.93103448275861
Matam,62.75862068965519
Saint-Louis,47.24137931034484
Sédhiou,81.37931034482759
Tambacounda,81.37931034482759
Thiès,28.620689655172406
Ziguinchor,65.86206896551724
