Region,RISK
Dakar,1000.0
Diourbel,43256.81069275552
Fatick,82794.23814606004
Kaffrine,64802.55079083158
Kaolack,34185.451118039324
Kédougou,388235.2598850005
Kolda,127076.28422009067
Louga,138189.84822764114
Matam,350019.9435925762
Saint-Louis,49634.65099447076
Sédhiou,77651.29018486213
Tambacounda,197009.3841682407
Thiès,18729.29151682683
Ziguinchor,39310.059586335636
