"Region","Average_Annual_Precipitation_mm"
"Dakar",378.761189855665
"Diourbel",683.38432042569
"Fatick",1159.46585989809
"Kaffrine",1073.91806838191
"Kaolack",887.484569202553
"Kédougou",2666.56606298267
"Kolda",2059.57532857962
"Louga",1646.69444150704
"Matam",2015.15283012444
"Saint-Louis",1437.25022706157
"Sédhiou",1244.44246424902
"Tambacounda",4950.09602836291
"Thiès",858.779817217743
"Ziguinchor",1156.76797183754
